Description,Category
Need to check internet connectivity on the 4th flo,Laptops/Desktop
Jabalpur Desktop reached,Laptops/Desktop
"Dear Sir,Please find the below detail ..* Blue",Laptops/Desktop
Please check below serial number because DATA card,Laptops/Desktop
Laptop Not found in asset infinity,Laptops/Desktop
FW: issue in vpn urgent,Inquiry / Help
Asset Code Custom Asset Code Purchase Date Owned B,Laptops/Desktop
This is to request you to please reset the passwor,Laptops/Desktop
ExCom  meeting setup,Laptops/Desktop
Sanjeev garg sir MacBook connect with tv,Laptops/Desktop
Board room testing,Laptops/Desktop
My id 6100090 Mail not working on mobile outlook app,Other
"key board is not working properly
charging issue 
",Laptops/Desktop
outlook issue ,E-mail
please reset the vpn mfa  depot id  Cfg.Atpadi,Network
Printerconnection require,Printer
FW: Add the name of HOD List,Inquiry / Help
"Dear Sir,Please check below serial number becaus",Laptops/Desktop
System run slow and give  error,Network
kindly Tonner change ,Printer
Outlook Issue ,E-mail
INSTALL PRINTER,Printer
wifi issue,Network
mail issue,Email
EPM software install,Other
PrinterInstallation,Printer
configure IP phone,Other
IP Phone Display Name updating @ Balasinor ,Network
Printernot working,Laptops/Desktop
VPN MFA Reset ,Network
New laptop configured and data backup,Laptops/Desktop
PrinterInstall,Printer
Printerinstallation,Printer
Password reset ,E-mail
Account lock,Laptops/Desktop
USB PORTS are not working  properly. Battery is al,Laptops/Desktop
Need to add name in scanner address book list.,Laptops/Desktop
Server migration activity for Nimbahera plant,Other
IP Swapping  of RFID server for server migration,Other
Please reset below vpn id:-   Ganesh.jktech,Inquiry / Help
network issue,Network
"Dear Sir,              vpn not working in Atpadi depot so please solve this problem...",Network
Test1 bpc <Test1.bpc@jkcement.com>  Kindly Clear t,E-mail
jk_gotan_grey_env@jkcement.compasswords not work ,Laptops/Desktop
Laptop charger not working. Kindly look into this,Laptops/Desktop
please reset my password,Other
SAP uninstall and reinstall version 760,Laptops/Desktop
charging port is not working properly in newly iss,Laptops/Desktop
vpn password has been reset ,Network
Password reset ,Network
Password reset ,Network
jk_gotan_white_env@jkcement.com passwords not wor,Laptops/Desktop
Password reset ,E-mail
Camera not working,Laptops/Desktop
Change password :- jkc@0123,Laptops/Desktop
Need IP Phone,Laptops/Desktop
Outlook issue,Laptops/Desktop
"During my travel requisition, when I was filling t",Software
Outlook issue,Laptops/Desktop
Test Call,Server
Sticker Pasting on users system.,Laptops/Desktop
system slow,Laptops/Desktop
meeting room 4.1 tv not connected,Laptops/Desktop
Check VC on 4th floor,Laptops/Desktop
Check Meeting room,Laptops/Desktop
Check TeamViewer with network team,Laptops/Desktop
System configure,Laptops/Desktop
4th floor Printercheck,Laptops/Desktop
4th floor Printercheck,Laptops/Desktop
Printerissue,Laptops/Desktop
Printerissue,Laptops/Desktop
Password reset,Laptops/Desktop
System need to reinstall os,Laptops/Desktop
The CGWA Site not work our network-https://www.cg,Network
Account Lock Issue,Laptops/Desktop
"New laptop configured, data backup and handed over",Laptops/Desktop
not working properly,Laptops/Desktop
Printernot connected,Printer
network connectivity issue camera is not open. ple,Network
RE: SQL Server,Inquiry / Help
RE: SQL Server & ODBC not available,Inquiry / Help
Printernot working,Printer
GET UP THE MAIL  DATA TO BE DONE.,Network
WINDOWS 10 INSTALLATION.,Network
HDD installed in new CPU and reinstalled,Laptops/Desktop
2 CPU configured for EMS,Laptops/Desktop
PC not working,Laptops/Desktop
retrospect space management,Software
backup clients reconfigured,Software
Retrospect backup software reconfigured,Software
"Dear Sir,Kindly provide 1 cartridge to Accounts ",Printer
TOUCH PAD STILL NOT WORKING AFTER REPAIR. PLEASE R,Laptops/Desktop
Need to enrol user's in biometrics,Laptops/Desktop
Need to upgrade Laptop's RAM,Laptops/Desktop
Need to extend AD password,Laptops/Desktop
Need to downgrade Chrome,Laptops/Desktop
Laptop camera is not working,Laptops/Desktop
Need to extend AD password,Laptops/Desktop
password not working,Laptops/Desktop
Need to reset password for VPN use.,Laptops/Desktop
vpn password reset at Cfg.koppal depot ,Network
Not able to connect VPN,Network
Printerissue,Other
Please provide appropriate VPN access on below AD Id:-   AD ID rid.pwc rid.pwc1 rid.pwc2 rid.pwc3 rid.pwc4 rid.pwc5,Inquiry / Help
allow vpn,Other
Need to update windows patches as showing pending.,Laptops/Desktop
Earphones not working in laptop.,Laptops/Desktop
Need to join meeting with 42 gears teamTime dura,Laptops/Desktop
"Dear Pankaj , Please provide the detail in attac",Laptops/Desktop
"Hi Sir, I am not able to connect VPN as google aut",Network
FW: Access to HR Gotan,Inquiry / Help
system slow working,Other
winr file issue,Other
SAP & VPn issue,Laptops/Desktop
Laptop screen body is cracked at one end. request ,Laptops/Desktop
Reset KPM5 password,Network
Pls add the Printer,Printer
Reset system password,Laptops/Desktop
Network issue,Network
Replace mouse and mouse pad.,Laptops/Desktop
Working slow performance ,Laptops/Desktop
Dear sirPlease provide me ITSM user id and passwo,SAP
Email Password reset ,E-mail
Rajeev Tiwari Printerissue,Laptops/Desktop
Application installation,Software
VPN  is not working. Contact no. 9208764704,Network
Printernot working,Laptops/Desktop
New Laptop provided to Swati Srivastava,Laptops/Desktop
"Dear Sir,As per instruction we have provided the",Laptops/Desktop
"Hello RKS,Yes we have received 10 activated Sim ",Laptops/Desktop
"Dear Sir,Below SIM card has been issued.Vishesh",Laptops/Desktop
"Dear Sir,Please find the below correct user deta",Laptops/Desktop
"Dear sir,Please find the  below NVR  detail ..",Laptops/Desktop
my pc run very slow,Laptops/Desktop
Reset vpn Password at davangere depot id  :  cfw.davangere ,Network
vpn is not working at davangere depot ,Network
"As discussed, right now you are not able to provid",Laptops/Desktop
"key board not working properly , please replace it",Laptops/Desktop
Printerinstallation required,Printer
SAP is not working,Laptops/Desktop
outlook issue,Laptops/Desktop
Password reset,Laptops/Desktop
Please organize to change IP Phone display name (Sushil Kumar) in place of Nagendra Verma ,Other
sap long text  not working,SAP
Password reset ,E-mail
dear sir vpn not working  please check ,Network
teams install,Laptops/Desktop
PLEASE CHANGE MY PHONE NO ( 9731607605 ) INSTEAD O,Network
Dear sir  Please reset VPN password of  Kurnool  depot .  Id = cfw. kurnool,Network
MS Teams not working,Laptops/Desktop
outlook issue,Laptops/Desktop
Please active the SAP in provided new  stand by laptop,Inquiry / Help
Replace Drum,Printer
Need to check 4th floor Printerstatus.,Laptops/Desktop
Need to check 7th floor Printerstatus.,Laptops/Desktop
Excel problem,Network
Need to check connectivity at MD's sir room.,Laptops/Desktop
Need to check connectivity at DMD& CEO room.,Laptops/Desktop
Need to check boardroom connectivity.,Laptops/Desktop
Outlook issue in Surender Bhatia's laptop.,Laptops/Desktop
outlook storage is not sufficient,E-mail
Need to connect wifi in guest at conference room.,Laptops/Desktop
please issue one cartrige.,Printer
Password reset ,E-mail
Approval Required,Inquiry / Help
Please check below IP phone as it is showing registering only:-   MAC:- D0EC3584230E   Model No:- CP7821,Inquiry / Help
Password reset ,E-mail
Password reset ,E-mail
password reset.,Laptops/Desktop
Configure new IP phone,Other Hardware
Wifi not working.,Laptops/Desktop
internet issue,Other
printing issue,Other
Please issue one cartridge for colony dispensary.,Laptops/Desktop
we are sanding Printerfor repairing purpose  Epso,Printer
"Hi team,   Please provide appropriate VPN access on below Depot ID:-   rid.nagaur",Inquiry / Help
system run slow. its not work properly.,Laptops/Desktop
As per instruction we have provided the CCTV acces,Laptops/Desktop
Printernot working,Network
Excel not working,Network
Printerissue.,Laptops/Desktop
long text could not be edited,SAP
Need to handover laptop at 7th floor.,Laptops/Desktop
Presentation issue at boardroom.,Laptops/Desktop
Need to update assets record on cloud868130038456,Laptops/Desktop
Need to update assets record on cloud9J5LPL3,Laptops/Desktop
Need to update assets record on cloud8J5LPL3,Laptops/Desktop
Need to update assets record on cloudJD9SXX1,Laptops/Desktop
Need to update assets record on cloud7J5LPL3Pris,Laptops/Desktop
Need to update assets record on cloudJH5LPL3Pris,Laptops/Desktop
Need to update assets record on cloudDJ5LPL3Pris,Laptops/Desktop
Need to update assets record on cloudBH5LPL3Pris,Laptops/Desktop
slow working issue,Laptops/Desktop
Need to update assets record on cloudHK5LPL3Pris,Laptops/Desktop
Need to update assets record on cloudFFH7JL3Pris,Laptops/Desktop
Need to update assets record on cloud1J5LPL3Pris,Laptops/Desktop
pulse secure installaton & Configure,Laptops/Desktop
Need to update assets record on cloud6K5LPL3Pris,Laptops/Desktop
Need to update assets record on cloud2K5LPL3Pris,Laptops/Desktop
Need to update assets record on cloudJBH7JL3Pri,Laptops/Desktop
Need to update assets record on cloud5K5LPL3,Laptops/Desktop
Need to update assets record on cloud6VHNPL3,Laptops/Desktop
Need to update assets record on cloud9H5LPL3 Ra,Laptops/Desktop
Need to update assets record on cloud7L5LPL3Sand,Laptops/Desktop
Need to update assets record on cloud352682/10/94,Laptops/Desktop
Need to enrol user on Biometrics Attendance Machin,Laptops/Desktop
Need to provide Dell Power adaptor on temp basic(F,Laptops/Desktop
Need to enrol user on Biometrics Attendance Machin,Laptops/Desktop
Need to enrol user on Biometrics Attendance Machin,Laptops/Desktop
Laptop's Power adaptor is not working,Laptops/Desktop
vpn issue,Other
VPN access required for CCTV Camera from outside t,Laptops/Desktop
Printercheck 7th floor,Laptops/Desktop
Printercheck 4th Floor,Laptops/Desktop
Need to check 7th floor Printerstatus.,Laptops/Desktop
PrinterCheck 5th floor,Laptops/Desktop
Need to check 5th floor Printerstatus.,Laptops/Desktop
Need to check 4th floor Printerstatus.,Laptops/Desktop
Touchpad not working properly (Sumesh Khandelwal ),Laptops/Desktop
kindly reset my password,Other
E-Mail ID add in Panna Gruop,E-mail
password reset ,E-mail
required VPN access,Network
outlook issue,Laptops/Desktop
Reset my system password,Network
